,Name,Result
857,Vladimir KUTS,13:39.6
858,Gordon PIRIE,13:50.6
859,Derek IBBOTSON,13:54.4
860,Gaston REIFF,14:17.6
861,Emil ZÃTOPEK,14:17.8
862,Willem SLIJKHUIS,14:26.8
863,Lauri LEHTINEN,14:30.0
864,Ralph HILL,14:30.0
865,Lauri VIRTANEN,14:44.0
866,Paavo NURMI,14:31.2
867,Ville RITOLA,14:31.4
868,Edvin WIDE,15:01.8
869,Hannes KOLEHMAINEN,14:36.6
870,Jean BOUIN,14:36.7
871,George HUTSON,15:07.6
872,Matej TOTH,3:40:58
873,Jared TALLENT,3:41:16
874,Hirooki ARAI,3:41:24
875,Alex SCHWAZER,3h37:09
876,Jared TALLENT,3h39:27
877,Denis NIZHEGORODOV,3h40:14
878,Robert KORZENIOWSKI,03h42:22
879,Aigars FADEJEVS,03h43:40
880,Joel SANCHEZ GUERRERO,03h44:36
881,Andrey PERLOV,3:50:13
882,Carlos MERCENARIO,3:52:09
883,Ronald WEIGEL,3:53:45
884,RaÃºl GONZÃLEZ,3:47:26
885,Bo GUSTAFSSON,3:53:19
886,Sandro BELLUCCI,3:53:45
887,Bernd KANNENBERG,3:56:11.6
888,Veniamin SOLDATENKO,3:58:24.0
889,Larry YOUNG,4:00:46.0
890,Abdon PAMICH,4:11:12.4
891,Paul Vincent NIHILL,4:11:31.2
892,Ingvar PETTERSSON,4:14:17.4
893,Norman READ,4:30:42.8
894,Yevgeni MASKINSKOV,4:32:57.0
895,John LJUNGGREN,4:35:02.0
896,John LJUNGGREN,4:41:52
897,Gaston GODEL,4:48:17
898,Terence Lloyd JOHNSON,4:48:31
899,Thomas William GREEN,4:50:10
900,Janis DALINS,4:57:20
901,Ugo FRIGERIO,4:59:06
902,Jared TALLENT,3:36:53
903,Tianfeng SI,3:37:16
904,Robert HEFFERNAN,3:37:54
905,Robert KORZENIOWSKI,3h38:46
906,Denis NIZHEGORODOV,3h42:50
907,Aleksey VOYEVODIN,3h43:34
908,Robert KORZENIOWSKI,3:43:30
909,Mikhail SHCHENNIKOV,3:43:46
910,Valentin MASSANA,3:44:19
911,Vyacheslav IVANENKO,3:38:29
912,Ronald WEIGEL,3:38:56
913,Hartwig GAUDER,3:39:45
914,Hartwig GAUDER,3:49:24.0
915,Jorge LLOPART,3:51:25.0
916,Yevgeny Mikhaylovich IVCHENKO,3:56:32.0
917,Christoph HÃHNE,4:20:13.6
918,Antal KISS,4:30:17.0
919,Larry YOUNG,4:31:55.4
920,Donald James THOMPSON,4:25:30.0
921,John LJUNGGREN,4:25:47.0
922,Abdon PAMICH,4:27:55.4
923,Giuseppe DORDONI,4:28:07.8
924,Josef DOLEZAL,4:30:17.8
925,Antal RÃKA,4:31:27.2
926,Harold WHITLOCK,4:30:41.4
927,Arthur SCHWAB,4:32:09.2
928,Adalberts BUBENKO,4:32:42.2
929,David Lekuta RUDISHA,1:42.15
930,Taoufik MAKHLOUFI,1:42.61
931,Clayton MURPHY,1:42.93
932,Wilfred BUNGEI,1:44.65
933,Ismail Ahmed ISMAIL,1:44.70
934,Alfred Kirwa YEGO,1:44.82
935,Nils SCHUMANN,01:45.08
936,Wilson KIPKETER,01:45.14
937,Djabir SAID GUERNI,01:45.16
938,William TANUI,1:43.66
939,Nixon KIPROTICH,1:43.70
940,Johnny GRAY,1:43.97
941,Joaquim CRUZ,1:43.00
942,Sebastian COE,1:43.64
943,Earl JONES,1:43.83
944,Alberto JUANTORENA,1:43.50
945,Ivo VAN DAMME,1:43.86
946,Richard Charles WOHLHUTER,1:44.12
947,Ralph DOUBELL,1:44.3
948,Wilson KIPRUGUT,1:44.5
949,Thomas Francis FARRELL,1:45.4
950,Peter SNELL,1:46.3
951,Roger MOENS,1:46.5
952,George KERR,1:47.1
953,Mal WHITFIELD,1:49.2
954,Arthur WINT,1:49.4
955,Heinz ULZHEIMER,1:49.7
956,John WOODRUFF,1:52.9
957,Mario LANZI,1:53.3
958,Philip EDWARDS,1:53.6
959,Douglas LOWE,1:51.8
960,Erik BYLÃHN,1:52.8
961,Hermann ENGELHARD,1:53.2
962,Albert HILL,1:53.4
963,Earl EBY,1:53.6
964,Bevil RUDD,1:54.0
965,Melvin SHEPPARD,1:52.8
966,Emilio LUNGHI,1:54.2
967,Hanns BRAUN,1:55.2
968,Alfred TYSOE,2:01.2
969,John CREGAN,2:01.6
970,David HALL,
971,David Lekuta RUDISHA,1:40.91
972,Nijel AMOS,1:41.73
973,Timothy KITUM,1:42.53
974,Yuriy BORZAKOVSKIY,1:44.45
975,Mbulaeni MULAUDZI,1:44.61
976,Wilson KIPKETER,1:44.65
977,VebjÃ¸rn RODAL,1:42.58
978,Hezekiel SEPENG,1:42.74
979,Fred ONYANCHA,1:42.79
980,Steve OVETT,1:45.4
981,Sebastian COE,1:45.9
982,Nikolai KIROV,1:46.0
983,David James WOTTLE,1:45.86
984,Yevgeni ARZHANOV,1:45.89
985,Mike BOIT,1:46.01
986,Peter SNELL,1:45.1
987,William CROTHERS,1:45.6
988,Wilson KIPRUGUT,1:45.9
989,Thomas COURTNEY,1:47.7
990,Derek JOHNSON,1:47.8
991,Audun BOYSEN,1:48.1
992,Mal WHITFIELD,1:49.2
993,Arthur WINT,1:49.5
994,Marcel HANSENNE,1:49.8
995,Thomas HAMPSON,1:49.8
996,Alex WILSON,1:49.9
997,Philip EDWARDS,
998,Douglas LOWE,1:52.4
999,Paul MARTIN,1:52.6
1000,Schuyler ENCK,1:53.0
1001,James Edwin MEREDITH,1:51.9
1002,Melvin SHEPPARD,1:52.0
1003,Ira DAVENPORT,1:52.0
1004,James LIGHTBODY,1:56.0
1005,Howard VALENTINE,1:56.3
1006,Emil BREITKREUTZ,1:56.4
1007,Edwin FLACK,2:11.0
1008,NÃ¡ndor DÃNI,2:11.8
1009,Dimitrios GOLEMIS,2:28.0
1010,Ashton EATON,8893.0
1011,Kevin MAYER,8834.0
1012,Damian WARNER,8666.0
1013,Bryan CLAY,8791.0
1014,Andrei KRAUCHANKA,8551.0
1015,Leonel SUAREZ,8527.0
1016,Erki NOOL,8641.0
1017,Roman SEBRLE,8606.0
1018,Chris HUFFINS,8595.0
1019,Robert ZMELÃK,8611.0
1020,Antonio PENALVER ASENSIO,8412.0
1021,Dave JOHNSON,8309.0
1022,Daley THOMPSON,8798.0
1023,JÃ¼rgen HINGSEN,8673.0
1024,Siegfried WENTZ,8412.0
1025,Bruce JENNER,8618.0
1026,Guido KRATSCHMER,8411.0
1027,Nikolay AVILOV,8369.0
1028,Bill TOOMEY,8193.0
1029,Hans-Joachim WALDE,8111.0
1030,Kurt BENDLIN,8064.0
1031,Rafer JOHNSON,8392.0
1032,Chuan-Kwang YANG,8334.0
1033,Vasily KUZNETSOV,7809.0
1034,Bob MATHIAS,7887.0
1035,Milton Gray CAMPBELL,6975.0
1036,Floyd SIMMONS,6788.0
1037,Glenn MORRIS,7900.0
1038,Robert Hyatt CLARK,7601.0
1039,Jack PARKER,7275.0
1040,Paavo YRJÃLÃ,8053.29  P.
1041,Aki JÃRVINEN,7931.50  P.
1042,John Kenneth DOHERTY,7706.65  P.
1043,Helge LÃVLAND,6803.355
1044,Brutus HAMILTON,6771.085
1045,Bertil OHLSON,6580.03
1046,Thomas Francis KIELY,6036 P.
1047,Adam GUNN,5907 P.
1048,Truxtun HARE,5813 P.
1049,Ashton EATON,8869.0
1050,Trey HARDEE,8671.0
1051,Leonel SUAREZ,8523.0
1052,Roman SEBRLE,8893.0
1053,Bryan CLAY,8820.0
1054,Dmitriy KARPOV,8725.0
1055,Dan O'BRIEN,8824.0
1056,Frank BUSEMANN,8706.0
1057,TomÃ¡? DVORÃK,8664.0
1058,Christian SCHENK,8488.0
1059,Torsten VOSS,8399.0
1060,Dave STEEN,8328.0
1061,Daley THOMPSON,8495.0
1062,Yuri KUTSENKO,8331.0
1063,Sergei ZHELANOV,8135.0
1064,Nikolay AVILOV,8454.0
1065,Leonid LITVINENKO,8035.0
1066,Ryszard KATUS,7984.0
1067,Willi HOLDORF,7887.0
1068,Rein AUN,7842.0
1069,Hans-Joachim WALDE,7809.0
1070,Milton Gray CAMPBELL,7937.0
1071,Rafer JOHNSON,7587.0
1072,Vasily KUZNETSOV,7465.0
1073,Bob MATHIAS,7139.0
1074,Ignace HEINRICH,6974.0
1075,Floyd SIMMONS,6950.0
1076,Jim BAUSCH,8462.235
1077,Aki JÃRVINEN,8292.48
1078,Wolrad EBERLE,8030.805
1079,Harold OSBORN,7740.775 P.
1080,Emerson NORTON,7350.895 P.
1081,Alexander KLUMBERG-KOLMPERE,7329.33 P.
1082,Hugo WIESLANDER,7724.495 P.
1083,Jim THORPE,8412.955
1084,Charles LOMBERG,7413.510 P.
1085,GÃ¶sta HOLMER,7347.855 P.
1086,Christoph HARTING,68.37
1087,Piotr MALACHOWSKI,67.55
1088,Daniel JASINSKI,67.05
1089,Gerd KANTER,68.82
1090,Piotr MALACHOWSKI,67.82
1091,Virgilijus ALEKNA,67.79
1092,Virgilijus ALEKNA,69.3
1093,Lars RIEDEL,68.5
1094,Frantz KRUGER,68.19
1095,Romas UBARTAS,65.12
1096,JÃ¼rgen SCHULT,64.94
1097,Roberto MOYA,64.12
1098,Rolf DANNEBERG,66.6
1099,Mac WILKINS,66.3
1100,John POWELL,65.46
1101,Mac WILKINS,67.5
1102,Wolfgang SCHMIDT,66.22
1103,John POWELL,65.7
1104,Al OERTER,64.78
1105,Lothar MILDE,63.08
1106,LudvÃ­k DANEK,62.92
1107,Al OERTER,59.18
1108,Rink BABKA,58.02
1109,Richard COCHRAN,57.16
1110,Sim INESS,55.03
1111,Adolfo CONSOLINI,53.78
1112,James DILLION,53.28
1113,Martin SHERIDAN,40.89
1114,Merritt GIFFIN,40.7
1115,Marquis Franklin HORR,39.45
1116,Robert HARTING,68.27
1117,Ehsan HADADI,68.18
1118,Gerd KANTER,68.03
1119,Virgilijus ALEKNA,69.89
1120,Zoltan KOVAGO,67.04
1121,Aleksander TAMMERT,66.66
1122,Lars RIEDEL,69.4
1123,Vladimir DUBROVSHCHIK,66.6
1124,Vasiliy KAPTYUKH,65.8
1125,Viktor RASHCHUPKIN,66.64
1126,Imrich BUGÃR,66.38
1127,Luis DELIS,66.32
1128,Al OERTER,61.0
1129,LudvÃ­k DANEK,60.52
1130,David Lawson WEILL,59.49
1131,John ANDERSON,49.49
1132,Henri LABORDE,48.47
1133,Paul WINTER,47.85
1134,Bud HOUSER,46.155
1135,Vilho Aleksander NIITTYMAA,44.95
1136,Thomas LIEB,44.83
1137,Armas TAIPALE,45.21
1138,Richard Leslie BYRD,42.32
1139,James DUNCAN,42.28
1140,Martin SHERIDAN,39.28
1141,Ralph ROSE,39.28
1142,Nikolaos GEORGANTAS,37.68
1143,Robert GARRETT,29.15
1144,Panagiotis PARASKEVOPOULOS,28.95
1145,Sotirios VERSIS,28.78
1146,Dilshod NAZAROV,78.68
1147,Ivan TSIKHAN,77.79
1148,Wojciech NOWICKI,77.73
1149,Primoz KOZMUS,82.02
1150,Vadim DEVYATOVSKIY,81.61
1151,Ivan TSIKHAN,81.51
1152,Szymon ZIOLKOWSKI,80.02
1153,Nicola VIZZONI,79.64
1154,Igor ASTAPKOVICH,79.17
1155,Andrey ABDUVALIEV,82.54
1156,Igor ASTAPKOVICH,81.96
1157,Igor NIKULIN,81.38
1158,Yuri SEDYKH,77.52
1159,Aleksei SPIRIDONOV,76.08
1160,Anatoli BONDARCHUK,75.48
1161,Vasili RUDENKOV,67.1
1162,Gyula ZSIVÃTZKY,65.79
1163,Tadeusz RUT,65.64
1164,JÃ³zsef CSERMÃK,60.34
1165,Karl STORCH,58.86
1166,Imre NÃMETH,57.74
1167,John FLANAGAN,51.92
1168,Matt MCGRATH,51.18
1169,Cornelius WALSH,48.51
1170,John FLANAGAN,51.01
1171,Truxtun HARE,46.26
1172,Josiah MCCRACKEN,43.58
1173,Krisztian PARS,80.59
1174,Primoz KOZMUS,79.36
1175,Koji MUROFUSHI,78.71
1176,Koji MUROFUSHI,82.91
1177,Esref APAK,79.51
1178,BalÃ¡zs KISS,81.24
1179,Lance Earl DEAL,81.12
1180,Oleksiy KRYKUN,80.02
1181,Oleksandr KRYKUN,80.02
1182,Yuri SEDYKH,81.8
1183,Sergey LITVINOV,80.64
1184,Yuri TAMM,78.96
1185,Romuald KLIM,69.74
1186,Gyula ZSIVÃTZKY,69.09
1187,Uwe BEYER,68.09
1188,Patrick O'CALLAGHAN,53.92
1189,Ville PÃRHÃLÃ,52.27
1190,Peter ZAREMBA,50.33
1191,Fred TOOTELL,53.295
1192,Matt MCGRATH,50.84
1193,Malcolm NOKES,48.875
1194,Matt MCGRATH,54.74
1195,Duncan GILLIS,48.39
1196,Clarence CHILDS,48.17
1197,John FLANAGAN,51.23
1198,John DEWITT,50.26
1199,Ralph ROSE,45.73
1200,Derek DROUIN,2.38
1201,Mutaz Essa BARSHIM,2.36
1202,Bohdan BONDARENKO,2.33
1203,Andrey SILNOV,2.36
1204,Germaine MASON,2.34
1205,Yaroslav RYBAKOV,2.34
1206,Sergey KLYUGIN,2.35
1207,Javier SOTOMAYOR,2.32
1208,Abderrahmane HAMMAD,2.32
1209,Javier SOTOMAYOR,2.34
1210,Patrik SJÃBERG,2.34
1211,Tim FORSYTH,2.34
1212,Artur PARTYKA,2.34
1213,Hollis CONWAY,2.34
1214,Jacek WSZOLA,2.25
1215,Greg JOY,2.23
1216,Dwight STONES,2.21
1217,Robert SHAVLAKADZE,2.16
1218,Valeri BRUMEL,2.16
1219,John THOMAS,2.14
1220,Walt DAVIS,2.04
1221,Kenneth WIESNER,2.01
1222,Jose TELLES DA CONCEICAO,1.98
1223,Harry PORTER,1.9
1224,IstvÃ¡n SOMODI,1.88
1225,Cornelius LEAHY,1.88
1226,Georges ANDRE,1.88
1227,Irving BAXTER,1.9
1228,Patrick LEAHY,1.78
1229,Lajos GÃNCZY,1.75
1230,Ivan UKHOV,2.38
1231,Erik KYNARD,2.33
1232,Derek DROUIN,2.29
1233,Mutaz Essa BARSHIM,2.29
1234,Robert GRABARZ,2.29
1235,Stefan HOLM,2.36
1236,Matt HEMINGWAY,2.34
1237,Jaroslav BABA,2.34
1238,Charles AUSTIN,2.39
1239,Artur PARTYKA,2.37
1240,Steve SMITH,2.35
1241,Gerd WESSIG,2.36
1242,Jacek WSZOLA,2.31
1243,JÃ¶rg FREIMUTH,2.31
1244,Valeri BRUMEL,2.18
1245,John THOMAS,2.18
1246,John RAMBO,2.16
1247,Duncan MCNAUGHTON,1.97
1248,Robert VAN OSDEL,1.97
1249,Simeon TORIBIO,1.97
1250,Harold OSBORN,1.98
1251,Leroy BROWN,1.95
1252,Pierre LEWDEN,1.92
1253,Alma RICHARDS,1.93
1254,Hans LIESCHE,1.91
1255,George HORINE,1.89
1256,Samuel JONES,1.8
1257,Garrett SERVISS,1.77
1258,Paul WEINSTEIN,1.77
1259,Ellery CLARK,1.81
1260,Robert GARRETT,1.65
1261,James CONNOLLY,1.65
1262,Thomas ROHLER,
1263,Julius YEGO,
1264,Keshorn WALCOTT,
1265,Andreas THORKILDSEN,90.57
1266,Ainars KOVALS,86.64
1267,Tero PITKAMAKI,86.16
1268,Jan Å½ELEZNÃ,90.17
1269,Steve BACKLEY,89.85
1270,Sergey MAKAROV,88.67
1271,Jan Å½ELEZNÃ,89.66
1272,Seppo RÃTY,86.6
1273,Steve BACKLEY,83.38
1274,Arto HÃRKÃNEN,86.76
1275,David OTTLEY,85.74
1276,Kenth ELDEBRINK,83.72
1277,Miklos NEMETH,94.58
1278,Hannu Juhani SIITONEN,87.92
1279,Gheorghe MEGELEA,87.16
1280,Viktor TSYBULENKO,84.64
1281,Walter KRÃGER,79.36
1282,Gergely KULCSÃR,78.57
1283,Cy YOUNG,73.78
1284,William Preston MILLER,72.46
1285,Toivo HYYTIÃINEN,71.89
1286,Eric LEMMING,54.83
1287,Arne HALSE,50.57
1288,Otto NILSSON,47.11
1289,Keshorn WALCOTT,84.58
1290,Antti RUUSKANEN,84.12
1291,Andreas THORKILDSEN,86.5
1292,Vadims VASILEVSKIS,84.95
1293,Sergey MAKAROV,84.84
1294,Jan Å½ELEZNÃ,88.16
1295,Steve BACKLEY,87.44
1296,Seppo RÃTY,86.98
1297,Dainis KULA,91.2
1298,Aleksandr MAKAROV,89.64
1299,Wolfgang HANISCH,86.72
1300,Pauli NEVALA,82.66
1301,Gergely KULCSÃR,82.32
1302,Yanis LUSIS,80.57
1303,Matti JÃRVINEN,72.71
1304,Matti SIPPALA,69.8
1305,Eino PENTTILÃ,68.7
1306,Jonni MYYRÃ,62.96
1307,Gunnar LINDSTRÃM,60.92
1308,Eugene OBERST,58.35
1309,Eric LEMMING,60.64
1310,Juho Julius SAARISTO,58.66
1311,Mor KOVACS,55.5
1312,Jeff HENDERSON,8.38
1313,Luvo MANYONGA,8.37
1314,Greg RUTHERFORD,8.29
1315,Irving SALADINO,8.34
1316,Godfrey Khotso MOKOENA,8.24
1317,Ibrahim CAMEJO,8.2
1318,Ivan PEDROSO,8.55
1319,Jai TAURIMA,8.49
1320,Roman SCHURENKO,8.31
1321,Carl LEWIS,8.67
1322,Mike POWELL,8.64
1323,Joe GREENE,8.34
1324,Arnie ROBINSON,8.35
1325,Randel Luvelle WILLIAMS,8.11
1326,Frank WARTENBERG,8.02
1327,Ralph BOSTON,8.12
1328,Irvin ROBERSON,8.11
1329,Igor TER-OVANESYAN,8.04
1330,Jerome BIFFLE,7.57
1331,Meredith GOURDINE,7.53
1332,ÃâdÃÂ¶n FÃâLDESSY,7.3
1333,Jesse OWENS,8.06
1334,Luz LONG,7.87
1335,Naoto TAJIMA,7.74
1336,Edward Barton HAMM,7.73
1337,Sylvio CATOR,7.58
1338,Al BATES,7.4
1339,Frank IRONS,7.48
1340,Daniel KELLY,7.09
1341,Calvin BRICKER,7.08
1342,Alvin KRAENZLEIN,7.185
1343,Meyer PRINSTEIN,7.175
1344,Patrick LEAHY,6.95
1345,Greg RUTHERFORD,8.31
1346,Mitchell WATT,8.16
1347,Will CLAYE,8.12
1348,Dwight PHILLIPS,8.59
1349,John MOFFITT,8.47
1350,Joan Lino MARTINEZ,8.32
1351,Carl LEWIS,8.5
1352,James BECKFORD,8.29
1353,Joe GREENE,8.24
1354,Lutz DOMBROWSKI,8.54
1355,Frank PASCHEK,8.21
1356,Valeri PODLUZHNYI,8.18
1357,Lynn DAVIES,8.07
1358,Ralph BOSTON,8.03
1359,Igor TER-OVANESYAN,7.99
1360,Edward Lansing GORDON,7.64
1361,Lambert REDD,7.6
1362,Chuhei NAMBU,7.45
1363,William De Hart HUBBARD,7.445
1364,Edward Orval GOURDIN,7.275
1365,Sverre HANSEN,7.26
1366,Albert GUTTERSON,7.6
1367,Calvin BRICKER,7.21
1368,Georg ABERG,7.18
1369,Meyer PRINSTEIN,7.34
1370,Daniel FRANK,6.89
1371,Robert STANGLAND,6.88
1372,Ellery CLARK,6.35
1373,Robert GARRETT,6.18
1374,James CONNOLLY,6.11
1375,Eliud Kipchoge ROTICH,02:08:44
1376,Feyisa LILESA,2:09:54
1377,Galen RUPP,2:10:05
1378,Samuel Kamau WANJIRU,2h06:32
1379,Jaouad GHARIB,2h07:16
1380,Tsegay KEBEDE,2h10:00
1381,Gezahegne ABERA,02h10:11
1382,Erick WAINAINA,02h10:31
1383,Tesfaye TOLA,02h11:10
1384,Young-Cho HWANG,2:13:23
1385,Koichi MORISHITA,2:13:45
1386,Stephan FREIGANG,2:14:00
1387,Carlos LOPES,2:09:21
1388,John TREACY,2:09:56
1389,Charles SPEDDING,2:09:58
1390,Waldemar CIERPINSKI,2:09:55.0
1391,Frank Charles SHORTER,2:10:45.8
1392,Karel LISMONT,2:11:12.6
1393,Mamo WOLDE,2:20:26.4
1394,Kenji KIMIHARA,2:23:31.0
1395,Mike RYAN,2:23:45.0
1396,Abebe BIKILA,2:15:16.2
1397,Abdesiem RHADI BEN ABDESSELEM,2:15:41.6
1398,Barry MAGEE,2:17:18.2
1399,Emil ZÃTOPEK,2:23:03.2
1400,Reinaldo GORNO,2:25:35.0
1401,Gustaf JANSSON,2:26:07.0
1402,Kitei SON,2:29:19.2
1403,Ernest HARPER,2:31:23.2
1404,Shoryu NAN,2:31:42.0
1405,BoughÃ¨ra EL OUAFI,2:32.57
1406,Manuel PLAZA,2:33.23
1407,Martti MARTTELIN,2:35.02
1408,Hannes KOLEHMAINEN,2:32:35.8
1409,JÃ¼ri LOSSMANN,2:32:48.6
1410,Valerio ARRI,2:36:32.8
1411,John HAYES,2:55:18.4
1412,Charles HEFFERON,2:56:06.0
1413,Joseph FORSHAW,2:57:10.4
1414,Michel THÃATO,2-59:45.0
1415,Ãmile CHAMPION,3-04:17.0
1416,Ernst FAST,3-37:14.0
1417,Stephen KIPROTICH,2:08:01
1418,Abel KIRUI,2:08:27
1419,Wilson Kipsang KIPROTICH,2:09:37
1420,Stefano BALDINI,2h10:55
1421,Mebrahtom KEFLEZIGHI,2h11:29
1422,Vanderlei DE LIMA,2h12:11
1423,Josia THUGWANE,2:12:36
1424,Bong Ju LEE,2:12:39
1425,Erick WAINAINA,2:12:44
1426,Gelindo BORDIN,2:10:32
1427,Douglas WAKIIHURI,2:10:47
1428,Hussein AHMED SALAH,2:10:59
1429,Waldemar CIERPINSKI,2:11:03.0
1430,Gerard NIJBOER,2:11:20.0
1431,Setymkul DZHUMANAZAROV,2:11:35.0
1432,Frank Charles SHORTER,2:12:19.8
1433,Karel LISMONT,2:14:31.8
1434,Mamo WOLDE,2:15:08.4
1435,Abebe BIKILA,2:12:11.2
1436,Basil HEATLEY,2:16:19.2
1437,Kokichi TSUBURAYA,2:16:22.8
1438,Alain MIMOUN,2:25:00
1439,Franjo MIHALIC,2:26:32
1440,Veikko KARVONEN,2:27:47
1441,Delfo CABRERA,2:34:51.6
1442,Thomas John Henry RICHARDS,2:35:07.6
1443,Etienne GAILLY,2:35:33.6
1444,Juan Carlos ZABALA,2:31:36
1445,Samuel FERRIS,2:31:55
1446,Armas TOIVONEN,2:32:12
1447,Albin STENROOS,2:41:22.6
1448,Romeo BERTINI,2:47:19.6
1449,Clarence DEMAR,2:48:14.0
1450,Kennedy Kane MCARTHUR,2:36:54.8
1451,Christian W. GITSHAM,2:37:52.0
1452,Gaston STROBINO,2:38:42.4
1453,Thomas HICKS,3:28:53.0
1454,Albert CORAY,3:34:52.0
1455,Arthur NEWTON,3:47:33.0
1456,Spyridon LOUIS,2-58:50
1457,Kharilaos VASILAKOS,3-06:03
1458,Gyula KELLNER,3-06:35
1459,Thiago Braz DA SILVA,6.03
1460,Renaud LAVILLENIE,5.98
1461,Sam KENDRICKS,5.85
1462,Steve HOOKER,5.96
1463,Evgeniy LUKYANENKO,5.85
1464,Nick HYSONG,5.9
1465,Lawrence JOHNSON,5.9
1466,Maksim TARASOV,5.9
1467,Maksim TARASOV,5.8
1468,Igor TRANDENKOV,5.8
1469,Javier GARCÃA,5.75
1470,Don BRAGG,4.7
1471,Ronald MORRIS,4.6
1472,Eeles LANDSTRÃM,4.55
1473,Bob RICHARDS,4.55
1474,Don LAZ,4.5
1475,Ragnar Torsten LUNDBERG,4.4
1476,Alfred Carleten GILBERT,3.71
1477,Edward COOK,3.71
1478,Edward ARCHIBALD,3.58
1479,Charles JACOBS,3.58
1480,Bruno SÃDERSTRÃM,3.58
1481,Irving BAXTER,3.3
1482,Meredith COLKETT,3.25
1483,Carl Albert ANDERSEN,3.2
1484,Renaud LAVILLENIE,5.97
1485,Bjorn OTTO,5.91
1486,Raphael HOLZDEPPE,5.91
1487,Timothy MACK,5.95
1488,Toby STEVENSON,5.9
1489,Giuseppe GIBILISCO,5.85
1490,Jean GALFIONE,5.92
1491,Igor TRANDENKOV,5.92
1492,Andrei TIVONTCHIK,5.92
1493,Wladyslaw KOZAKIEWICZ,5.78
1494,Tadeusz SLUSARSKI,5.65
1495,Konstantin VOLKOV,5.65
1496,Fred HANSEN,5.1
1497,Wolfgang REINHARDT,5.05
1498,Klaus LEHNERTZ,5.0
1499,William Waring MILLER,4.315
1500,Shuhei NISHIDA,4.3
1501,George JEFFERSON,4.2
1502,Lee BARNES,3.95
1503,Glenn GRAHAM,3.95
1504,James BROOKER,3.9
1505,Harry Stoddard BABCOCK,3.95
1506,Frank NELSON,3.85
1507,Marc WRIGHT,3.85
1508,William HAPPENNY,3.8
1509,Bertil UGGLA,3.8
1510,Frank MURPHY,3.8
1511,Charles DVORAK,3.5
1512,Leroy SAMSE,3.43
1513,Louis WILKINS,3.43
1514,William Welles HOYT,3.3
1515,Albert TYLER,3.2
1516,Evangelos DAMASKOS,2.6
1517,Ioannis THEODOROPOULOS,2.6
1518,Ryan CROUSER,22.52
1519,Joe KOVACS,21.78
1520,Tomas WALSH,21.36
1521,Tomasz MAJEWSKI,21.51
1522,Christian CANTWELL,21.09
1523,Dylan ARMSTRONG,21.04
1524,Arsi HARJU,21.29
1525,Adam NELSON,21.21
1526,John GODINA,21.2
1527,Mike STULCE,21.7
1528,Jim DOEHRING,20.96
1529,Vyacheslav LYKHO,20.94
1530,Alessandro ANDREI,21.26
1531,Michael D'Andrea CARTER,21.09
1532,Dave LAUT,20.97
1533,William NIEDER,19.68
1534,Parry O'BRIEN,19.11
1535,Dallas LONG,19.01
1536,Parry O'BRIEN,17.41
1537,Darrow Clarence HOOPER,17.39
1538,James FUCHS,17.06
1539,Hans WOELLKE,16.2
1540,Sulo BÃRLUND,16.12
1541,Gerhard STÃCK,15.66
1542,Ralph ROSE,14.21
1543,Denis HORGAN,13.62
1544,John GARRELLS,13.18
1545,Richard SHELDON,14.1
1546,Josiah MCCRACKEN,12.85
1547,Robert GARRETT,12.35
1548,Tomasz MAJEWSKI,21.89
1549,David STORL,21.86
1550,Reese HOFFA,21.23
1551,Adam NELSON,21.16
1552,Joachim Broechner OLSEN,21.07
1553,Manuel MARTINEZ,20.84
1554,Randy BARNES,21.62
1555,John GODINA,20.79
1556,Oleksandr BAGACH,20.75
1557,Vladimir KISELEV,21.35
1558,Aleksandr BARYSHNIKOV,21.08
1559,Udo BEYER,21.06
1560,Dallas LONG,20.33
1561,Randy MATSON,20.2
1562,Vilmos VARJU,19.39
1563,Leo SEXTON,16.0
1564,Harlow ROTHERT,15.67
1565,Franti?ek DOUDA,15.61
1566,Bud HOUSER,14.995
1567,Glenn HARTRANFT,14.895
1568,Ralph HILLS,14.64
1569,Patrick MCDONALD,15.34
1570,Ralph ROSE,15.25
1571,Lawrence WHITNEY,13.93
1572,Ralph ROSE,14.81
1573,Wesley COE,14.4
1574,Lawrence E. Joseph FEUERBACH,13.37
1575,Robert GARRETT,11.22
1576,Miltiadis GOUSKOS,11.2
1577,Georgios PAPASIDERIS,10.36
1578,Christian TAYLOR,17.86
1579,Will CLAYE,17.76
1580,Bin DONG,17.58
1581,Nelson EVORA,17.67
1582,Phillips IDOWU,17.62
1583,Leevan SANDS,17.59
1584,Jonathan EDWARDS,17.71
1585,Yoel GARCÃA,17.47
1586,Denis KAPUSTIN,17.46
1587,Mike CONLEY,18.17
1588,Charles SIMPKINS,17.6
1589,Frank RUTHERFORD,17.36
1590,Jozef SCHMIDT,16.81
1591,Vladimir GORYAYEV,16.63
1592,Vitold KREYER,16.43
1593,Adhemar DA SILVA,16.22
1594,Leonid SHCHERBAKOV,15.98
1595,Arnoldo DEVONISH,15.52
1596,Tim AHEARNE,14.92
1597,Garfield MACDONALD,14.76
1598,Edvard LARSEN,14.39
1599,Meyer PRINSTEIN,14.47
1600,James CONNOLLY,13.97
1601,Lewis SHELDON,13.64
1602,Christian TAYLOR,17.81
1603,Will CLAYE,17.62
1604,Fabrizio DONATO,17.48
1605,Christian OLSSON,17.79
